Max Generation: 100 ,Population Size: 100 
1,  0.50,  1.06
2,  0.50,  2.16
3,  0.49,  3.39
4,  0.50,  4.93
5,  0.49,  6.55
6,  0.49,  8.55
7,  0.49, 10.51
8,  0.49, 12.44
9,  0.49, 14.76
10,  0.49, 17.28
11,  0.49, 20.06
12,  0.49, 22.62
13,  0.48, 25.13
14,  0.48, 28.03
15,  0.49, 30.93
16,  0.49, 33.45
17,  0.49, 36.25
18,  0.49, 39.15
19,  0.49, 41.81
20,  0.48, 44.67
21,  0.48, 47.73
22,  0.48, 51.03
23,  0.48, 55.15
24,  0.48, 58.82
25,  0.48, 62.93
26,  0.48, 67.24
27,  0.48, 71.83
28,  0.48, 76.89
29,  0.48, 82.06
30,  0.48, 86.19
31,  0.48, 90.54
32,  0.48, 95.49
33,  0.48,101.42
34,  0.48,106.83
35,  0.48,113.04
36,  0.48,118.57
37,  0.48,123.95
38,  0.48,130.15
39,  0.48,136.92
40,  0.48,143.63
41,  0.48,149.32
42,  0.48,154.43
43,  0.48,159.87
44,  0.48,165.56
45,  0.49,172.40
46,  0.48,177.88
47,  0.48,184.69
48,  0.48,191.59
49,  0.48,198.12
50,  0.48,205.27
51,  0.48,211.55
52,  0.48,218.47
53,  0.48,225.73
54,  0.48,233.35
55,  0.48,240.78
56,  0.48,248.57
57,  0.49,256.99
58,  0.48,265.63
59,  0.48,273.92
60,  0.48,283.07
61,  0.48,292.09
62,  0.48,301.36
63,  0.49,310.93
64,  0.49,319.64
65,  0.49,329.95
66,  0.49,338.21
67,  0.48,347.36
68,  0.48,357.21
69,  0.48,366.49
70,  0.49,375.70
71,  0.48,384.88
72,  0.49,393.74
73,  0.48,402.95
74,  0.48,414.46
75,  0.48,424.98
76,  0.48,435.90
77,  0.48,446.72
78,  0.48,457.74
79,  0.49,468.66
80,  0.49,479.30
81,  0.49,490.72
82,  0.48,501.45
83,  0.48,513.15
84,  0.48,524.30
85,  0.48,536.07
86,  0.48,547.78
87,  0.48,559.71
88,  0.48,572.45
89,  0.48,587.98
90,  0.48,603.82
91,  0.49,617.83
92,  0.48,637.08
93,  0.49,653.78
94,  0.49,670.98
95,  0.49,697.17
96,  0.49,716.01
97,  0.49,741.51
98,  0.49,760.46
99,  0.49,779.57
