Max Generation: 100 ,Population Size: 100 
1,  0.50,  1.33
2,  0.50,  2.45
3,  0.49,  3.57
4,  0.49,  5.61
5,  0.49,  7.67
6,  0.49,  9.94
7,  0.49, 12.90
8,  0.49, 16.37
9,  0.49, 22.11
10,  0.49, 29.18
11,  0.49, 38.84
12,  0.49, 50.91
13,  0.49, 58.60
14,  0.49, 64.91
15,  0.49, 70.10
16,  0.49, 73.64
17,  0.49, 77.12
18,  0.49, 82.00
19,  0.49, 87.60
20,  0.49, 93.99
21,  0.49, 99.48
22,  0.49,104.25
23,  0.49,109.19
24,  0.49,115.65
25,  0.49,121.68
26,  0.49,129.99
27,  0.49,135.88
28,  0.48,141.22
29,  0.48,146.62
30,  0.48,152.23
31,  0.48,157.65
32,  0.49,163.14
33,  0.49,168.50
34,  0.49,173.76
35,  0.49,179.03
36,  0.49,184.17
37,  0.48,189.75
38,  0.49,195.18
39,  0.49,201.92
40,  0.49,208.08
41,  0.49,214.04
42,  0.49,220.64
43,  0.48,233.33
44,  0.48,244.06
45,  0.49,249.62
46,  0.49,254.91
47,  0.48,260.11
48,  0.48,265.48
49,  0.48,271.24
50,  0.48,278.32
51,  0.49,285.55
52,  0.49,295.11
53,  0.49,308.42
54,  0.49,319.37
55,  0.48,326.25
56,  0.48,333.18
57,  0.48,339.87
58,  0.49,350.01
59,  0.49,360.91
60,  0.49,368.04
61,  0.48,375.13
62,  0.48,382.71
63,  0.48,394.69
64,  0.49,404.42
65,  0.49,416.75
66,  0.49,428.31
67,  0.49,441.63
68,  0.49,456.77
69,  0.49,473.81
70,  0.49,484.79
71,  0.49,494.58
72,  0.49,505.19
73,  0.49,515.75
74,  0.49,526.98
75,  0.49,547.63
76,  0.49,560.23
77,  0.49,573.91
78,  0.49,592.48
79,  0.49,608.59
80,  0.49,630.59
81,  0.49,651.05
82,  0.49,667.23
83,  0.49,686.33
84,  0.49,702.43
85,  0.49,722.45
86,  0.49,745.15
87,  0.49,769.24
88,  0.49,787.54
89,  0.49,817.60
90,  0.49,845.58
91,  0.49,874.75
92,  0.49,903.53
93,  0.49,926.88
94,  0.49,951.18
95,  0.49,967.61
96,  0.49,987.67
97,  0.49,1009.77
98,  0.49,1036.09
99,  0.49,1057.95
