Max Generation: 100 ,Population Size: 100 
1,  0.50,  1.82
2,  0.49,  3.29
3,  0.46,  4.56
4,  0.47,  5.77
5,  0.46,  9.45
6,  0.45, 12.92
7,  0.45, 15.10
8,  0.43, 18.70
9,  0.44, 21.07
10,  0.45, 23.48
11,  0.45, 25.68
12,  0.44, 28.60
13,  0.44, 32.20
14,  0.44, 36.83
15,  0.44, 40.34
16,  0.44, 43.66
17,  0.44, 47.70
18,  0.44, 54.98
19,  0.44, 59.65
20,  0.44, 65.99
21,  0.45, 72.57
22,  0.44, 76.30
23,  0.44, 79.34
24,  0.44, 82.38
25,  0.44, 85.56
26,  0.44, 88.79
27,  0.44, 91.90
28,  0.44, 95.15
29,  0.44, 98.43
30,  0.44,101.77
31,  0.44,105.19
32,  0.44,108.74
33,  0.44,112.54
34,  0.45,116.61
35,  0.45,120.55
36,  0.44,124.48
37,  0.45,128.64
38,  0.45,132.90
39,  0.45,137.28
40,  0.45,141.79
41,  0.45,146.31
42,  0.45,151.34
43,  0.45,155.96
44,  0.44,160.62
45,  0.45,165.33
46,  0.45,170.22
47,  0.44,174.76
48,  0.45,179.67
49,  0.45,184.79
50,  0.45,192.41
51,  0.44,202.34
52,  0.44,208.68
53,  0.44,217.12
54,  0.44,224.69
55,  0.45,232.03
56,  0.45,241.27
57,  0.44,249.56
58,  0.45,258.86
59,  0.44,269.05
60,  0.45,275.38
61,  0.44,280.67
62,  0.45,286.23
63,  0.44,295.03
64,  0.45,300.73
65,  0.45,306.73
66,  0.45,312.26
67,  0.45,317.78
68,  0.45,323.28
69,  0.46,329.12
70,  0.46,335.29
71,  0.46,341.31
72,  0.45,346.59
73,  0.44,352.68
74,  0.45,358.74
75,  0.45,364.58
76,  0.44,370.36
77,  0.44,376.36
78,  0.44,382.84
79,  0.44,389.75
80,  0.44,397.07
81,  0.44,404.23
82,  0.44,411.56
83,  0.44,419.03
84,  0.44,425.71
85,  0.43,432.40
86,  0.44,439.55
87,  0.44,446.98
88,  0.44,454.52
89,  0.44,461.95
90,  0.44,472.54
91,  0.44,487.82
92,  0.44,497.41
93,  0.43,504.47
94,  0.44,511.04
95,  0.43,518.42
96,  0.43,525.57
97,  0.44,532.99
98,  0.44,540.51
99,  0.43,548.34
