Max Generation: 100 ,Population Size: 100 
1,  0.50,  1.16
2,  0.50,  2.27
3,  0.46,  3.53
4,  0.44,  5.26
5,  0.45,  7.03
6,  0.44,  8.78
7,  0.44, 11.16
8,  0.45, 13.67
9,  0.44, 16.55
10,  0.44, 20.71
11,  0.44, 24.55
12,  0.44, 28.07
13,  0.44, 31.95
14,  0.44, 36.46
15,  0.44, 41.94
16,  0.44, 45.85
17,  0.44, 50.06
18,  0.43, 54.35
19,  0.44, 59.11
20,  0.44, 64.16
21,  0.44, 68.48
22,  0.44, 73.10
23,  0.44, 77.59
24,  0.44, 82.06
25,  0.44, 86.47
26,  0.44, 91.60
27,  0.44, 97.32
28,  0.44,102.84
29,  0.44,108.30
30,  0.44,113.78
31,  0.44,119.04
32,  0.44,125.19
33,  0.44,131.02
34,  0.44,137.07
35,  0.44,143.73
36,  0.44,150.26
37,  0.44,157.18
38,  0.44,164.08
39,  0.44,171.42
40,  0.43,178.28
41,  0.44,187.13
42,  0.44,195.33
43,  0.44,202.73
44,  0.44,209.82
45,  0.44,219.78
46,  0.44,233.69
47,  0.44,242.98
48,  0.44,253.50
49,  0.44,262.05
50,  0.44,270.49
51,  0.44,278.64
52,  0.44,287.17
53,  0.44,296.10
54,  0.44,304.96
55,  0.44,313.85
56,  0.44,322.25
57,  0.44,329.78
58,  0.44,339.31
59,  0.44,349.05
60,  0.44,358.20
61,  0.45,367.81
62,  0.44,377.16
63,  0.44,386.58
64,  0.44,398.26
65,  0.44,408.60
66,  0.44,428.27
67,  0.44,453.92
68,  0.44,480.89
69,  0.44,495.60
70,  0.45,510.82
71,  0.45,521.79
72,  0.44,534.97
73,  0.45,552.09
74,  0.44,570.58
75,  0.44,588.91
76,  0.45,620.07
77,  0.44,661.23
78,  0.44,701.34
79,  0.44,749.91
80,  0.45,797.01
81,  0.44,836.73
82,  0.44,888.39
83,  0.44,970.83
84,  0.44,1044.03
85,  0.45,1114.93
86,  0.44,1165.71
87,  0.44,1213.65
88,  0.45,1268.66
89,  0.45,1306.01
90,  0.44,1392.77
91,  0.45,1469.64
92,  0.45,1583.60
93,  0.45,1731.28
94,  0.44,1853.68
95,  0.44,1979.74
96,  0.44,2044.74
97,  0.44,2179.97
98,  0.44,2289.29
99,  0.44,2434.68
