Max Generation: 100 ,Population Size: 100 
1,  0.50,  1.06
2,  0.50,  2.08
3,  0.49,  3.19
4,  0.50,  5.12
5,  0.49,  7.37
6,  0.49,  9.09
7,  0.49, 11.04
8,  0.49, 13.37
9,  0.49, 15.83
10,  0.48, 18.86
11,  0.48, 21.51
12,  0.48, 24.18
13,  0.48, 26.80
14,  0.48, 29.96
15,  0.48, 33.42
16,  0.48, 42.33
17,  0.48, 68.56
18,  0.48, 85.93
19,  0.48, 97.02
20,  0.47,102.52
21,  0.48,106.46
22,  0.48,110.18
23,  0.48,114.65
24,  0.47,122.65
25,  0.47,144.43
26,  0.48,155.16
27,  0.47,163.57
28,  0.47,168.12
29,  0.47,173.45
30,  0.47,179.89
31,  0.47,186.65
32,  0.48,191.06
33,  0.47,196.65
34,  0.47,200.90
35,  0.47,205.27
36,  0.47,210.40
37,  0.47,219.21
38,  0.47,225.64
39,  0.47,231.32
40,  0.47,236.84
41,  0.47,243.37
42,  0.47,250.28
43,  0.47,257.03
44,  0.47,263.52
45,  0.47,269.19
46,  0.47,274.27
47,  0.47,284.25
48,  0.47,292.89
49,  0.47,306.75
50,  0.47,311.93
51,  0.47,319.27
52,  0.47,324.67
53,  0.47,335.32
54,  0.47,345.24
55,  0.47,351.05
56,  0.47,360.35
57,  0.47,365.99
58,  0.47,373.96
59,  0.47,380.05
60,  0.47,386.42
61,  0.47,392.02
62,  0.47,403.38
63,  0.47,409.76
64,  0.47,416.39
65,  0.47,423.62
66,  0.47,430.53
67,  0.47,436.89
68,  0.47,442.99
69,  0.47,450.04
70,  0.47,457.08
71,  0.47,462.97
72,  0.47,468.79
73,  0.47,474.56
74,  0.47,480.55
75,  0.47,486.58
76,  0.47,492.76
77,  0.47,498.86
78,  0.47,505.32
79,  0.47,511.67
80,  0.47,519.35
81,  0.47,528.73
82,  0.47,541.40
83,  0.47,553.83
84,  0.47,563.74
85,  0.47,575.77
86,  0.47,584.65
87,  0.47,593.31
88,  0.47,604.02
89,  0.47,613.84
90,  0.47,623.87
91,  0.47,633.99
92,  0.47,646.31
93,  0.48,656.66
94,  0.48,666.82
95,  0.48,678.09
96,  0.48,688.91
97,  0.48,701.57
98,  0.48,713.38
99,  0.48,724.54
