ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
23i3AkDGUo6wZJP15V67kQ,0.64,0.533,0,-6.596,1,0.0706,0,0.0864,0.515,99.968,220773,4,33,0
0e7ipj03S05BNilyu5bRzt,0.587,0.535,5,-6.09,0,0.0898,6.56E-05,0.131,0.14,159.847,218147,4,92,1
2NVt7fxr5GsqTkGwYXcNTE,0.676,0.615,6,-7.534,0,0.0496,0,0.341,0.883,163.993,176675,4,60,0
5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.098,0,0.0581,0,0.163,0.636,123.063,219043,4,78,1
6xcJyGpfZbuuiequtnlKt4,0.764,0.628,11,-5.851,1,0.0503,0,0.114,0.196,140.963,190557,4,51,0
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,1,0.0515,0,0.099,0.847,77.998,128157,4,74,0
01BC4Xj5tfsfV8DLDrma7q,0.694,0.853,7,-3.986,1,0.0934,0,0.322,0.501,106.098,199773,4,66,0
3EmmCZoqpWOTY1g2GBwJoR,0.647,0.932,11,-3.515,1,0.0824,1.50E-06,0.0574,0.374,114.991,198774,4,72,0
5o3GnrcFtvkdf3zFznuSbA,0.783,0.61,7,-6.124,1,0.0696,0,0.0983,0.418,100.047,214265,4,76,1
0mGJTKRIuCOJtiT4YkJHiv,0.698,0.869,6,-3.294,1,0.0468,0,0.121,0.714,125.005,203387,4,59,0
1E1uGhNdBe6Dddbgs2KqtZ,0.62,0.61,11,-8.329,0,0.0373,0.162,0.205,0.235,127.052,238560,4,79,1
2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0,0.0657,0.595,138.113,192120,4,76,1
2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0,0.135,0.236,89.792,207520,4,87,1
7e6FvCvngX5job1PUYIIIL,0.744,0.634,8,-7.942,0,0.247,0,0.223,0.333,104.018,184840,4,69,0
4PWY72AubTjoZrohQt0pWn,0.77,0.664,0,-5.604,1,0.211,0.000118,0.105,0.472,140.163,321987,4,58,0
77VLYTyrdlHEWcjhjQoXlz,0.727,0.598,8,-8.425,1,0.0515,1.07E-05,0.0975,0.683,97.037,197627,4,67,0
20I6sIOMTCkB6w7ryavxtO,0.782,0.6,7,-6.532,1,0.0416,1.81E-06,0.108,0.612,120.05,193400,4,75,1
00vk0sEfb6mr2ehwSw0Uhn,0.773,0.849,8,-8.345,0,0.0587,0.0103,0.397,0.913,119.981,192227,4,59,0
3QmOiZF7IzJJkHnahh5Ea0,0.767,0.631,1,-6.762,1,0.0541,0,0.119,0.541,100.968,203992,4,68,0
6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.00133,0.101,0.111,149.004,258880,4,77,1
3iQlKJaVwZLU1B33b8L8zb,0.738,0.814,7,-4.414,0,0.0999,9.64E-06,0.126,0.483,119.041,225850,4,47,0
6u0oHknFYrnUd42A6rvFly,0.818,0.67,8,-4.451,0,0.0472,1.22E-06,0.0601,0.939,119.988,235382,4,51,0
2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7,-3.803,1,0.128,0,0.354,0.817,148.075,222093,4,75,1
2XMTqoHHSH0lvuXrvIEdco,0.683,0.708,5,-6.244,0,0.0305,0.155,0.686,0.355,92.991,237707,4,76,1
3bvjsHQd792zIO4SKFxXKs,0.485,0.91,9,-2.096,1,0.0977,0,0.138,0.649,124.18,205027,4,61,0
3mkJigBxWd5DJUsRuwHG3f,0.661,0.909,11,-2.323,0,0.0494,0,0.305,0.643,125.021,158493,4,55,0
7gHs73wELdeycvS48JfIos,0.589,0.651,6,-5.097,1,0.0306,3.20E-06,0.111,0.166,90.011,212627,4,81,1
0s3nnoMeVWz3989MkNQiRf,0.511,0.566,6,-7.23,0,0.2,0,0.34,0.218,83.903,239836,4,60,0
32lItqlMi4LBhb4k0BaSaC,0.67,0.654,4,-5.944,1,0.153,1.02E-06,0.071,0.438,180.024,227533,4,85,1
1BuZAIO8WZpavWVbbq3Lci,0.713,0.831,1,-4.75,0,0.15,0,0.118,0.584,173.948,332301,4,81,1
7kqcudBGM74MXVoYMaoWkC,0.845,0.506,1,-5.971,1,0.0409,1.03E-06,0.0879,0.647,99.051,264947,4,75,1
7fa9MBXhVfQ8P8Df9OEbD8,0.851,0.541,0,-6.825,1,0.0505,0,0.13,0.448,124.959,235545,4,84,1
5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,6,-10.532,1,0.0434,0,0.0866,0.183,145.965,259333,4,78,1
46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,1,-4.119,1,0.0469,0.00193,0.0856,0.383,126.008,227074,4,76,1
0QsvXIfqM0zZoerQfsI9lm,0.542,0.859,11,-5.651,1,0.197,0.00466,0.137,0.403,159.797,208053,4,43,0
5GNjiM8jZCgbqjHklAcT9e,0.755,0.682,0,-4.799,1,0.0339,0,0.189,0.498,122.049,219040,4,70,0
447yWcDPg1ddgcHBLGpJC0,0.783,0.537,9,-2.921,1,0.0749,0,0.229,0.392,113.977,222866,4,32,0
