ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
46ydq5g3k17iLJs3qMDvO6,0.675,0.609,7,-5.027,0,0.0586,0,0.0957,0.378,120.039,208729,4,73,0
2eAZfqOm4EnOF9VvN50Tyc,0.703,0.757,1,-3.612,1,0.05,0,0.106,0.696,82.008,221747,4,81,1
0CokSRCu5hZgPxcZBaEzVE,0.731,0.794,0,-5.126,0,0.0522,2.59E-05,0.112,0.356,139.994,220454,4,81,1
4fwbGKNExPtPHbor1TBSY4,0.397,0.725,7,-4.862,1,0.043,0,0.208,0.358,128.861,228879,4,73,0
1KhljCoJ2TgDEldnnfTHHc,0.762,0.576,1,-4.951,0,0.0829,0,0.0866,0.316,142.096,221178,4,58,0
3mkJigBxWd5DJUsRuwHG3f,0.661,0.909,11,-2.323,0,0.0494,0,0.305,0.643,125.021,158493,4,55,0
4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,3.92E-05,0.11,0.291,94.947,197854,4,73,0
7EOYLyD4pP4YJVgoVeKUQ1,0.707,0.924,7,-2.842,1,0.031,0.00703,0.204,0.919,127.937,206413,4,41,0
6vECYJHxYmm3Ydt3fF01pE,0.887,0.584,11,-8.798,1,0.0381,0.000314,0.101,0.677,114.016,313684,4,73,0
1ZY1PqizIl78geGM4xWlEA,0.8,0.535,7,-6.684,1,0.135,9.48E-06,0.213,0.451,92.027,209680,4,72,0
2bJvI42r8EF3wxjOuDav4r,0.72,0.802,1,-5.797,1,0.0582,0,0.694,0.723,124.043,229360,4,78,1
7ATATJztoWLcqDAcVVof0C,0.635,0.902,0,-3.559,1,0.109,0,0.125,0.286,102.063,217822,4,58,0
3rq5w4bQGigXOfdN30ATJt,0.55,0.537,5,-7.588,1,0.0325,0.00025,0.202,0.432,85.014,272394,4,63,0
6SwRhMLwNqEi6alNPVG00n,0.658,0.535,9,-8.983,0,0.0573,0,0.2,0.419,110.684,227360,4,76,1
2Za1AlJNvksouPPWbXpR2X,0.712,0.51,8,-8.162,1,0.0633,2.46E-05,0.112,0.268,122.964,240507,4,76,1
4tERsdVCLtLtrGdFBf9DGC,0.715,0.742,0,-4.331,1,0.0347,2.47E-05,0.364,0.322,106.971,230880,4,73,0
4r6eNCsrZnQWJzzvFh4nlg,0.638,0.832,8,-5.039,1,0.049,0,0.113,0.648,124.071,227893,4,62,0
000xQL6tZNLJzIrtIgxqSl,0.748,0.627,7,-6.029,1,0.0644,0,0.0852,0.524,120.963,188491,4,70,0
6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.00133,0.101,0.111,149.004,258880,4,77,1
6mDoM5FGbr1Or5nY9pTnLy,0.635,0.496,0,-7.301,1,0.0936,0,0.121,0.373,121.696,235082,4,62,0
2BqQQXuBOuhaWeUP7okEx0,0.775,0.417,7,-8.895,0,0.0974,0,0.125,0.608,109.956,211573,4,67,0
4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,0.615,5,-6.252,1,0.0539,0,0.234,0.366,139.91,197253,4,71,0
6ZeQp2XTOiPCePWRfCHSo5,0.422,0.321,5,-8.952,1,0.0294,2.33E-06,0.429,0.28,78.533,196347,4,59,0
2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0,0.135,0.236,89.792,207520,4,87,1
3QWjljChcOMkRDYSzF33Qr,0.87,0.502,5,-7.497,0,0.0549,0.00356,0.0916,0.673,82.53,160597,4,63,0
1JCCdiru7fhstOIF4N7WJC,0.572,0.499,2,-5.237,1,0.0311,0,0.213,0.108,101.593,237248,4,69,0
3oIhthYPSKwAwJLA8JClkV,0.663,0.789,6,-5.167,0,0.102,1.06E-06,0.0828,0.449,94.985,210680,4,66,0
2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,-5.507,0,0.0594,3.11E-06,0.294,0.354,121.993,205920,4,90,1
5rgy6ghBq1eRApCkeUdJXf,0.378,0.638,10,-5.576,1,0.075,7.66E-05,0.0849,0.735,184.086,250627,4,74,0
3y9cCbnBn0zjkJa2YkOj70,0.803,0.585,0,-5.39,1,0.087,2.87E-05,0.201,0.241,146.02,254080,4,63,0
4Km5HrUvYTaSUfiSGPJeQR,0.927,0.665,11,-5.313,1,0.244,0,0.123,0.175,127.076,343150,4,79,1
0s3nnoMeVWz3989MkNQiRf,0.511,0.566,6,-7.23,0,0.2,0,0.34,0.218,83.903,239836,4,60,0
5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0,0.625,0.603,190.05,196693,4,76,1
2meEiZKWkiN28gITzFwQo5,0.623,0.734,9,-5.95,1,0.107,1.90E-06,0.145,0.372,107.853,244453,4,84,1
7rfiXyFb5M9BqdkvKvVEiB,0.728,0.811,7,-4.278,1,0.0564,2.07E-06,0.362,0.705,114.995,228707,4,68,0
